Prod. Order No.,Source No.,Work Center No.,Status,Due Date,Remaining Quantity
MO-200001,CU-40186,BEND CELL,Firm Planned,10/02/2026,5
MO-200002,CU-40186,BEND CELL,Released,09/21/2026,5
MO-200003,CU-42364,CUT CELL,Released,09/26/2026,5
MO-200004,CU-42364,CUT CELL,Released,10/24/2026,5
MO-200005,CU-42592,BEND CELL,Firm Planned,10/31/2026,25
MO-200006,CU-43048,BEND CELL,Released,10/28/2026,5
MO-200007,CU-43048,BEND CELL,Released,11/01/2026,5
MO-200009,CU-43678,WELD CELL,Released,09/29/2026,100
MO-200010,CU-43942,BEND CELL,Firm Planned,10/18/2026,100
MO-200011,CU-45145,CUT CELL,Released,09/24/2026,50
MO-200012,CU-45145,CUT CELL,Released,10/10/2026,50
MO-200013,CU-45463,WELD CELL,Released,09/13/2026,50
MO-200014,CU-47311,CUT CELL,Released,10/15/2026,25
MO-200015,CU-47725,CUT CELL,Released,10/08/2026,50
MO-200016,CU-48349,WELD CELL,Released,09/12/2026,25
MO-200017,CU-48349,WELD CELL,Released,09/11/2026,25
MO-200018,CU-49132,BEND CELL,Firm Planned,11/01/2026,25
MO-200020,CU-50098,CUT CELL,Released,09/28/2026,25
MO-200021,CU-50098,CUT CELL,Firm Planned,10/07/2026,25
MO-200022,CU-51625,WELD CELL,Firm Planned,10/06/2026,25
MO-200023,CU-52003,WELD CELL,Released,10/08/2026,50
MO-200024,CU-52003,WELD CELL,Firm Planned,10/31/2026,50
MO-200025,CU-52075,CUT CELL,Firm Planned,10/20/2026,50
MO-200026,CU-52666,CUT CELL,Released,10/16/2026,25
MO-200027,CU-52666,CUT CELL,Released,10/23/2026,25
MO-200029,CU-53098,WELD CELL,Released,11/01/2026,25
MO-200030,CU-53098,WELD CELL,Released,09/23/2026,25
MO-200031,CU-53671,CUT CELL,Released,10/07/2026,50
MO-200032,CU-53671,CUT CELL,Released,09/26/2026,50
MO-200033,CU-54325,WELD CELL,Firm Planned,10/15/2026,25
MO-200034,CU-56551,WELD CELL,Firm Planned,10/18/2026,100
MO-200035,CU-57028,CUT CELL,Released,10/11/2026,100
MO-200036,CU-57553,WELD CELL,Released,09/23/2026,50
MO-200037,CU-57928,WELD CELL,Firm Planned,10/24/2026,50
MO-200038,HS6-60S,WELD CELL,Released,09/25/2026,5
MO-200039,HS6-60S,WELD CELL,Released,09/21/2026,5
MO-200040,L330-88B,BEND CELL,Released,09/25/2026,50
MO-200042,L430-246SC,BEND CELL,Released,10/26/2026,10
MO-200043,L490-620C,BEND CELL,Firm Planned,10/04/2026,13
MO-200044,L490-620C,BEND CELL,Released,09/21/2026,12
MO-200046,L522-1230B,BEND CELL,Released,09/16/2026,5
MO-200047,L522-1230B,BEND CELL,Firm Planned,10/26/2026,5
MO-200048,L530-1014B,BEND CELL,Released,10/10/2026,5
MO-200049,L530-1014B,BEND CELL,Firm Planned,10/29/2026,5
MO-200050,L545-3018B,BEND CELL,Released,11/01/2026,25
MO-200051,L560-1230B,BEND CELL,Released,10/27/2026,13
MO-200052,L560-1230B,BEND CELL,Released,10/09/2026,12
MO-200053,L660-816S,BEND CELL,Released,10/19/2026,50
MO-200055,L715-2420C,BEND CELL,Released,10/19/2026,50
MO-200056,L715-2420C,BEND CELL,Released,10/04/2026,50
MO-200057,L730-148A,BEND CELL,Firm Planned,10/15/2026,25
MO-200058,L745-3024S,BEND CELL,Firm Planned,10/31/2026,25
MO-200059,L745-3024S,BEND CELL,Released,09/24/2026,25
MO-200060,L890-1230B,BEND CELL,Released,10/23/2026,13
MO-200061,L890-1230B,BEND CELL,Released,10/10/2026,12
MO-200062,P25-18SE,CUT CELL,Released,09/24/2026,13
MO-200063,P25-18SE,CUT CELL,Released,09/22/2026,12
MO-200064,P35-120AE,CUT CELL,Firm Planned,10/31/2026,25
MO-200065,P35-120AE,CUT CELL,Released,09/28/2026,25
MO-200067,P4-24CX,CUT CELL,Released,10/09/2026,100
MO-200068,P4-48CE,CUT CELL,Firm Planned,10/09/2026,10
MO-200070,P7-30AX,CUT CELL,Released,09/16/2026,5
MO-200071,P7-30AX,CUT CELL,Firm Planned,10/31/2026,5
MO-200072,S4-138MS,CUT CELL,Firm Planned,10/11/2026,13
MO-200073,S4-138MS,CUT CELL,Released,10/18/2026,12
MO-200074,S5-126RC,CUT CELL,Released,10/20/2026,100
MO-200075,S5-36MA,CUT CELL,Released,10/13/2026,25
MO-200076,S5-36MA,CUT CELL,Firm Planned,10/02/2026,25
MO-200077,S5-48KS,CUT CELL,Firm Planned,10/14/2026,100
MO-200078,S5-72MA,CUT CELL,Firm Planned,10/03/2026,5
MO-200079,S5-72MA,CUT CELL,Released,10/26/2026,5
MO-200080,S6-126MB,CUT CELL,Released,09/10/2026,100
MO-200082,S6-138SB,CUT CELL,Released,09/10/2026,5
MO-200083,S6-138SB,CUT CELL,Firm Planned,10/03/2026,5
MO-200084,S7-54SC,CUT CELL,Released,09/12/2026,10
