Document No.,Line No.,Buy-from Vendor No.,No.,Description,Expected Receipt Date,Promised Receipt Date,Outstanding Quantity,Location Code
PO-104001,10000,V10010,L415-2030SC,"4"" 15 DEG ELBOW 20"" X 30"" CHROME SLIP",09/15/2026,09/01/2026,6,MAIN
PO-104002,10000,V10010,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",09/16/2026,09/16/2026,2,MAIN
PO-104002,20000,V10010,L415-2030SC,"4"" 15 DEG ELBOW 20"" X 30"" CHROME SLIP",09/17/2026,09/17/2026,11,MAIN
PO-104002,30000,V10010,RW-905,"TUBE 5"" 14GA 10FT ALUMINIZED",09/17/2026,09/17/2026,5,MAIN
PO-104002,40000,V10010,RW-905,"TUBE 5"" 14GA 10FT ALUMINIZED",09/20/2026,09/20/2026,33,MAIN
PO-104003,10000,V10010,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",09/24/2026,09/24/2026,5,MAIN
PO-104004,10000,V10010,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",09/28/2026,09/28/2026,2,MAIN
PO-104004,20000,V10010,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",09/29/2026,09/29/2026,6,MAIN
PO-104004,30000,V10010,M-7195,"MUFFLER ROUND 12"" X 30"" 6"" IN/OUT",10/04/2026,10/04/2026,2,MAIN
PO-104004,40000,V10010,RBHG7Z1,"HANGER 7"" ZINC STYLE 1",09/29/2026,09/29/2026,18,MAIN
PO-104005,10000,V10010,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",10/07/2026,10/07/2026,1,MAIN
PO-104006,10000,V10010,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",10/19/2026,10/19/2026,8,MAIN
PO-104006,20000,V10010,L415-2030SC,"4"" 15 DEG ELBOW 20"" X 30"" CHROME SLIP",10/22/2026,10/22/2026,8,MAIN
PO-104006,30000,V10010,RBHG7Z1,"HANGER 7"" ZINC STYLE 1",10/23/2026,10/23/2026,6,MAIN
PO-104006,40000,V10010,RW-905,"TUBE 5"" 14GA 10FT ALUMINIZED",11/08/2026,10/25/2026,27,MAIN
PO-104007,10000,V10020,RW-1436,"TUBE 7"" 12GA 10FT STAINLESS 304",09/26/2026,09/16/2026,44,MAIN
PO-104008,10000,V10020,RW-1436,"TUBE 7"" 12GA 10FT STAINLESS 304",10/28/2026,10/28/2026,19,MAIN
PO-104009,10000,V10030,RBHG7B1,"HANGER 7"" BLACK STYLE 1",10/19/2026,10/19/2026,35,MAIN
PO-104010,10000,V10040,RBGD8B4,"GUARD 8"" BLACK STYLE 4",10/17/2026,10/17/2026,16,MAIN
PO-104011,10000,V10050,S6-138MC,"6"" X 138"" MITER CUT STACK CHROME",09/12/2026,09/12/2026,3,MAIN
PO-104012,10000,V10050,S6-138MC,"6"" X 138"" MITER CUT STACK CHROME",10/09/2026,10/09/2026,6,MAIN
PO-104012,20000,V10050,S6-138MC,"6"" X 138"" MITER CUT STACK CHROME",10/10/2026,10/10/2026,5,MAIN
PO-104012,30000,V10050,S6-138MC,"6"" X 138"" MITER CUT STACK CHROME",10/11/2026,10/11/2026,4,MAIN
PO-104013,10000,V10050,S6-138MC,"6"" X 138"" MITER CUT STACK CHROME",10/29/2026,10/29/2026,2,MAIN
PO-104015,10000,V10100,RBRC10B3,"RAIN CAP 10"" BLACK STYLE 3",09/04/2026,09/04/2026,21,MAIN
PO-104016,10000,V10100,RBRC10B3,"RAIN CAP 10"" BLACK STYLE 3",09/26/2026,09/26/2026,1,MAIN
PO-104016,20000,V10100,RBRC10B3,"RAIN CAP 10"" BLACK STYLE 3",09/22/2026,09/22/2026,25,MAIN
