Document No.,Line No.,Sell-to Customer No.,No.,Description,Shipment Date,Outstanding Quantity,Unit Price,Line Amount,Location Code
SO534301,10000,1309,RBGD8B4,"GUARD 8"" BLACK STYLE 4, ""EXPEDITE"" per buyer",07/06/2026,15,26.52,397.80,MAIN
SO534301,20000,1309,S8-144MC,"8"" X 144"" MITER CUT STACK CHROME",07/06/2026,6,217.96,1307.76,MAIN
SO534301,30000,1309,L890-1230B,"8"" 90 DEG ELBOW 12"" X 30"" BLACK",07/06/2026,5,81.44,407.20,MAIN
SO535301,10000,1514,S8-144MC,"8"" X 144"" MITER CUT STACK CHROME",07/17/2026,4,278.78,1115.12,MAIN
SO535303,10000,1334,M-6593,"MUFFLER OVAL 11"" X 30"" 6"" IN/OUT",07/27/2026,2,252.56,505.12,MAIN
SO535303,20000,1334,L645-1810SA,"6"" 45 DEG ELBOW 18"" X 10"" ALUMINIZED SLIP",07/27/2026,1,63.86,63.86,MAIN
SO535403,10000,1490,L315-1214SC,"3"" 15 DEG ELBOW 12"" X 14"" CHROME SLIP",07/23/2026,4,66.34,265.36,MAIN
SO535701,10000,1255,M-1910,"MUFFLER RECTANGULAR 11"" X 36"" 4"" IN/OUT, ""EXPEDITE"" per buyer",07/24/2026,2,226.19,452.38,MAIN
SO535701,20000,1255,L890-1230B,"8"" 90 DEG ELBOW 12"" X 30"" BLACK",07/24/2026,8,104.17,833.36,MAIN
SO535701,30000,1255,S4-138MS,"4"" X 138"" MITER CUT STACK STAINLESS",07/24/2026,10,177.85,1778.50,MAIN
SO535702,10000,1463,L830-1818S,"8"" 30 DEG ELBOW 18"" X 18"" STAINLESS",07/27/2026,1,77.83,77.83,MAIN
SO535702,20000,1463,S4-138MS,"4"" X 138"" MITER CUT STACK STAINLESS",07/27/2026,4,139.04,556.16,MAIN
SO535702,30000,1463,L760-128B,"7"" 60 DEG ELBOW 12"" X 8"" BLACK",07/27/2026,3,52.88,158.64,MAIN
SO535702,40000,1463,P8-120CE,"8"" X 120"" PIPE CHROME ONE END EXPANDED",07/27/2026,20,87.26,1745.20,MAIN
SO535801,10000,1280,S5-96KA,"5"" X 96"" CURVED STACK ALUMINIZED",07/22/2026,4,99.15,396.60,EAST
SO535802,10000,1508,L415-2030SC,"4"" 15 DEG ELBOW 20"" X 30"" CHROME SLIP",07/27/2026,2,87.18,174.36,MAIN
SO535802,20000,1508,RBRC5B2,"RAIN CAP 5"" BLACK STYLE 2",07/27/2026,11,44.42,488.62,MAIN
SO535901,10000,1341,L315-1214SC,"3"" 15 DEG ELBOW 12"" X 14"" CHROME SLIP",07/28/2026,7,66.34,464.38,MAIN
SO535901,20000,1341,RBRC10B3,"RAIN CAP 10"" BLACK STYLE 3",07/28/2026,32,46.35,1483.20,MAIN
SO535901,30000,1341,L822-1024S,"8"" 22 DEG ELBOW 10"" X 24"" STAINLESS",07/28/2026,7,106.08,742.56,MAIN
SO535901,40000,1341,P35-18SX,"3.5"" X 18"" PIPE STAINLESS BOTH ENDS EXPANDED",07/28/2026,9,35.38,318.42,MAIN
SO536001,10000,1221,RBRC10B3,"RAIN CAP 10"" BLACK STYLE 3",07/20/2026,11,52.25,574.75,MAIN
SO536002,10000,1366,L760-2014B,"7"" 60 DEG ELBOW 20"" X 14"" BLACK",08/03/2026,9,73.87,664.83,MAIN
SO536002,20000,1366,L622-1214SC,"6"" 22 DEG ELBOW 12"" X 14"" CHROME SLIP",08/03/2026,2,82.69,165.38,MAIN
SO536102,10000,1264,L530-3016C,"5"" 30 DEG ELBOW 30"" X 16"" CHROME, ""EXPEDITE"" per buyer",07/28/2026,7,101.85,712.95,MAIN
SO536401,10000,1242,L760-1616A,"7"" 60 DEG ELBOW 16"" X 16"" ALUMINIZED",07/30/2026,4,60.53,242.12,MAIN
SO536401,20000,1242,PR-7660,PROPRIETARY BRACKET SET DWG 204,07/30/2026,6,104.85,629.10,MAIN
SO536401,30000,1242,M-1504,"MUFFLER RECTANGULAR 11"" X 30"" 6"" IN/OUT",07/30/2026,1,322.11,322.11,MAIN
SO536402,10000,1444,L590-1430SC,"5"" 90 DEG ELBOW 14"" X 30"" CHROME SLIP",07/31/2026,6,117.18,703.08,MAIN
SO536402,20000,1444,P3-144CX,"3"" X 144"" PIPE CHROME BOTH ENDS EXPANDED",07/31/2026,18,95.06,1711.08,MAIN
SO536403,10000,1522,FL25-8GA,"2.5"" X 8"" FLEX PIPE GALVANIZED",07/24/2026,11,40.16,441.76,MAIN
SO536403,20000,1522,L760-1616A,"7"" 60 DEG ELBOW 16"" X 16"" ALUMINIZED",07/24/2026,1,62.95,62.95,MAIN
SO536501,10000,1334,FL25-8GA,"2.5"" X 8"" FLEX PIPE GALVANIZED",08/03/2026,9,40.16,361.44,EAST
SO536501,20000,1334,L622-1214SC,"6"" 22 DEG ELBOW 12"" X 14"" CHROME SLIP",08/03/2026,5,82.69,413.45,EAST
SO536501,30000,1334,RBMB10Z2,"MOUNTING BRACKET 10"" ZINC STYLE 2",08/03/2026,9,50.03,450.27,EAST
SO536503,10000,1436,S8-24BB,"8"" X 24"" BULL HAULER STACK BLACK, ""EXPEDITE"" per buyer",07/23/2026,1,106.23,106.23,MAIN
SO536601,10000,1352,FL25-8GA,"2.5"" X 8"" FLEX PIPE GALVANIZED",07/28/2026,11,40.16,441.76,MAIN
SO536601,20000,1352,P35-18SX,"3.5"" X 18"" PIPE STAINLESS BOTH ENDS EXPANDED",07/28/2026,3,33.45,100.35,MAIN
SO536601,30000,1352,L645-146B,"6"" 45 DEG ELBOW 14"" X 6"" BLACK",07/28/2026,1,61.94,61.94,MAIN
SO536602,10000,1387,L890-1230B,"8"" 90 DEG ELBOW 12"" X 30"" BLACK",07/24/2026,7,104.17,729.19,MAIN
SO536602,20000,1387,L315-1214SC,"3"" 15 DEG ELBOW 12"" X 14"" CHROME SLIP",07/24/2026,14,66.34,928.76,MAIN
SO536603,10000,1490,L315-1214SC,"3"" 15 DEG ELBOW 12"" X 14"" CHROME SLIP",07/29/2026,3,66.34,199.02,MAIN
SO536701,10000,1312,M-6733,"MUFFLER ROUND 13"" X 42"" 4"" IN/OUT",07/27/2026,12,258.35,3100.20,EAST
SO536801,10000,1352,RBMB10Z2,"MOUNTING BRACKET 10"" ZINC STYLE 2",08/06/2026,15,50.03,750.45,MAIN
SO536801,20000,1352,CU-55780,CUSTOM MANIFOLD PER DRAWING 60216,08/06/2026,2,431.52,863.04,MAIN
SO537102,10000,1280,M-6593,"MUFFLER OVAL 11"" X 30"" 6"" IN/OUT",07/27/2026,2,242.85,485.70,MAIN
SO537102,20000,1280,S4-36BS,"4"" X 36"" BULL HAULER STACK STAINLESS",07/27/2026,1,96.39,96.39,MAIN
SO537104,10000,1485,RBHG7Z1,"HANGER 7"" ZINC STYLE 1",08/10/2026,25,42.37,1059.25,MAIN
SO537104,20000,1485,S4-36BS,"4"" X 36"" BULL HAULER STACK STAINLESS",08/10/2026,4,82.89,331.56,MAIN
SO537104,30000,1485,FL25-24IL,"2.5"" X 24"" FLEX PIPE INTERLOCK",08/10/2026,11,79.75,877.25,MAIN
SO537202,10000,1376,L415-2024B,"4"" 15 DEG ELBOW 20"" X 24"" BLACK",07/24/2026,12,65.26,783.12,MAIN
SO537202,30000,1376,RW-1466,"TUBE 6"" 14GA 20FT ALUMINIZED",07/24/2026,37,43.47,1608.39,MAIN
