Document No.,Line No.,Sell-to Customer No.,Posting Date,Type,No.,Description,Quantity,Unit Price,Amount
SI700769,1,1242,09/16/2026,Item,M-1504,"MUFFLER RECTANGULAR 11"" X 30"" 6"" IN/OUT",1,312.42,312.42
SI700768,1,1280,09/14/2026,Item,S4-144WB,"4"" X 144"" WEST COAST TURNOUT STACK BLACK",1,159.53,159.53
SI700765,1,1242,09/11/2026,Item,L760-1616A,"7"" 60 DEG ELBOW 16"" X 16"" ALUMINIZED",2,61.07,122.14
SI700766,1,1255,09/11/2026,Item,FL25-24IL,"2.5"" X 24"" FLEX PIPE INTERLOCK",3,100.84,302.52
SI700767,1,1280,09/11/2026,Item,FL4-8SS,"4"" X 8"" FLEX PIPE STAINLESS",1,64.92,64.92
SI700767,2,1280,09/11/2026,Item,HS5-12C,"HEAT SHIELD 5"" X 12"" CHROME",2,46.60,93.20
SI700767,3,1280,09/11/2026,Item,L530-2018C,"5"" 30 DEG ELBOW 20"" X 18"" CHROME",7,82.64,578.48
SI700767,4,1280,09/11/2026,Item,L645-1810SA,"6"" 45 DEG ELBOW 18"" X 10"" ALUMINIZED SLIP",1,61.58,61.58
SI700767,5,1280,09/11/2026,Item,M-1910,"MUFFLER RECTANGULAR 11"" X 36"" 4"" IN/OUT",1,202.94,202.94
SI700767,6,1280,09/11/2026,Item,M-2799,"MUFFLER ROUND 10"" X 42"" 5"" IN/OUT",1,334.76,334.76
SI700767,7,1280,09/11/2026,Item,M-6859,"MUFFLER OVAL 11"" X 42"" 5"" IN/OUT",1,262.29,262.29
SI700767,8,1280,09/11/2026,Item,PR-7715,PROPRIETARY Y-PIPE DWG 953,1,230.57,230.57
SI700767,9,1280,09/11/2026,Item,RBHG7Z1,"HANGER 7"" ZINC STYLE 1",2,49.71,99.42
SI700767,10,1280,09/11/2026,Item,S6-138MC,"6"" X 138"" MITER CUT STACK CHROME",1,238.35,238.35
SI700763,1,1280,09/10/2026,Item,PR-7715,PROPRIETARY Y-PIPE DWG 953,1,230.57,230.57
SI700764,1,1396,09/10/2026,Item,RW-905,"TUBE 5"" 14GA 10FT ALUMINIZED",1,96.99,96.99
SI700762,1,1242,09/09/2026,Item,PR-7660,PROPRIETARY BRACKET SET DWG 204,1,106.00,106.00
SI700760,1,1242,09/08/2026,Item,CU-55780,CUSTOM MANIFOLD PER DRAWING 60216,1,418.23,418.23
SI700761,1,1530,09/08/2026,Item,CU-55780,CUSTOM MANIFOLD PER DRAWING 60216,6,420.38,2522.28
SI700761,2,1530,09/08/2026,Item,FL25-24IL,"2.5"" X 24"" FLEX PIPE INTERLOCK",11,92.37,1016.07
SI700761,3,1530,09/08/2026,Item,L315-1214SC,"3"" 15 DEG ELBOW 12"" X 14"" CHROME SLIP",7,60.42,422.94
SI700761,4,1530,09/08/2026,Item,L590-1430SC,"5"" 90 DEG ELBOW 14"" X 30"" CHROME SLIP",1,110.85,110.85
SI700761,5,1530,09/08/2026,Item,L645-146B,"6"" 45 DEG ELBOW 14"" X 6"" BLACK",3,57.68,173.04
SI700761,6,1530,09/08/2026,Item,L890-1230B,"8"" 90 DEG ELBOW 12"" X 30"" BLACK",1,93.33,93.33
SI700761,7,1530,09/08/2026,Item,M-6656,"MUFFLER OVAL 12"" X 42"" 5"" IN/OUT",2,275.57,551.14
SI700761,8,1530,09/08/2026,Item,RBGD8B4,"GUARD 8"" BLACK STYLE 4",3,31.31,93.93
SI700754,1,1218,09/07/2026,Item,RBRC3S3,"RAIN CAP 3"" STAINLESS STYLE 3",8,37.23,297.84
SI700755,1,1326,09/07/2026,Item,FL6-18SS,"6"" X 18"" FLEX PIPE STAINLESS",1,83.34,83.34
SI700755,2,1326,09/07/2026,Item,L690-3020SA,"6"" 90 DEG ELBOW 30"" X 20"" ALUMINIZED SLIP",1,75.51,75.51
SI700755,3,1326,09/07/2026,Item,P8-120CE,"8"" X 120"" PIPE CHROME ONE END EXPANDED",1,103.83,103.83
SI700756,1,1334,09/07/2026,Item,FL35-12IL,"3.5"" X 12"" FLEX PIPE INTERLOCK",1,77.22,77.22
SI700756,2,1334,09/07/2026,Item,RW-905,"TUBE 5"" 14GA 10FT ALUMINIZED",1,118.41,118.41
SI700756,3,1334,09/07/2026,Item,S4-144WB,"4"" X 144"" WEST COAST TURNOUT STACK BLACK",3,170.12,510.36
SI700756,4,1334,09/07/2026,Item,S8-66KA,"8"" X 66"" CURVED STACK ALUMINIZED",1,110.54,110.54
SI700757,1,1349,09/07/2026,Item,L315-1214SC,"3"" 15 DEG ELBOW 12"" X 14"" CHROME SLIP",1,64.27,64.27
SI700757,2,1349,09/07/2026,Item,L345-1610C,"3"" 45 DEG ELBOW 16"" X 10"" CHROME",1,69.91,69.91
SI700757,3,1349,09/07/2026,Item,M-7013,"MUFFLER RECTANGULAR 11"" X 42"" 6"" IN/OUT",1,358.22,358.22
SI700757,4,1349,09/07/2026,Item,P3-144CX,"3"" X 144"" PIPE CHROME BOTH ENDS EXPANDED",1,92.46,92.46
SI700757,5,1349,09/07/2026,Item,RBHG7Z1,"HANGER 7"" ZINC STYLE 1",1,53.40,53.40
SI700757,6,1349,09/07/2026,Item,S4-36BS,"4"" X 36"" BULL HAULER STACK STAINLESS",4,98.84,395.36
SI700757,7,1349,09/07/2026,Item,S5-48KS,"5"" X 48"" CURVED STACK STAINLESS",2,113.81,227.62
SI700757,8,1349,09/07/2026,Item,S8-144MC,"8"" X 144"" MITER CUT STACK CHROME",5,248.26,1241.30
SI700758,1,1396,09/07/2026,Item,CU-43048,CUSTOM EXTENSION PER DRAWING 57884,2,501.92,1003.84
SI700758,2,1396,09/07/2026,Item,FL25-24IL,"2.5"" X 24"" FLEX PIPE INTERLOCK",1,80.06,80.06
SI700758,3,1396,09/07/2026,Item,FL3-10SS,"3"" X 10"" FLEX PIPE STAINLESS",1,52.46,52.46
SI700758,4,1396,09/07/2026,Item,HS5-12C,"HEAT SHIELD 5"" X 12"" CHROME",5,40.23,201.15
SI700758,5,1396,09/07/2026,Item,L590-1430SC,"5"" 90 DEG ELBOW 14"" X 30"" CHROME SLIP",1,97.19,97.19
SI700758,6,1396,09/07/2026,Item,L622-1214SC,"6"" 22 DEG ELBOW 12"" X 14"" CHROME SLIP",1,67.61,67.61
SI700758,7,1396,09/07/2026,Item,M-6278,"MUFFLER RECTANGULAR 12"" X 36"" 5"" IN/OUT",2,113.87,227.74
SI700758,8,1396,09/07/2026,Item,P25-60CP,"2.5"" X 60"" PIPE CHROME PLAIN",1,45.08,45.08
SI700758,9,1396,09/07/2026,Item,P8-120CE,"8"" X 120"" PIPE CHROME ONE END EXPANDED",2,87.07,174.14
SI700758,10,1396,09/07/2026,Item,PR-7011,PROPRIETARY Y-PIPE DWG 860,2,191.54,383.08
SI700758,11,1396,09/07/2026,Item,RBHG7Z1,"HANGER 7"" ZINC STYLE 1",1,42.56,42.56
SI700758,12,1396,09/07/2026,Item,RBMB10B4,"MOUNTING BRACKET 10"" BLACK STYLE 4",14,21.99,307.86
SI700759,1,1463,09/07/2026,Item,P8-120CE,"8"" X 120"" PIPE CHROME ONE END EXPANDED",1,87.20,87.20
SI700751,1,1337,09/04/2026,Item,RW-1436,"TUBE 7"" 12GA 10FT STAINLESS 304",4,98.29,393.16
SI700752,1,1396,09/04/2026,Item,S5-96KA,"5"" X 96"" CURVED STACK ALUMINIZED",1,84.58,84.58
SI700753,1,1436,09/04/2026,Item,L3522-824C,"3.5"" 22 DEG ELBOW 8"" X 24"" CHROME",1,70.72,70.72
SI700753,2,1436,09/04/2026,Item,L530-3016C,"5"" 30 DEG ELBOW 30"" X 16"" CHROME",2,81.07,162.14
SI700753,3,1436,09/04/2026,Item,P35-18SX,"3.5"" X 18"" PIPE STAINLESS BOTH ENDS EXPANDED",13,31.75,412.75
SI700753,4,1436,09/04/2026,Item,PR-7077,PROPRIETARY MANIFOLD ADAPTER DWG 104,1,300.62,300.62
SI700753,5,1436,09/04/2026,Item,RBRC5B2,"RAIN CAP 5"" BLACK STYLE 2",3,42.21,126.63
SI700753,6,1436,09/04/2026,Item,S4-144WB,"4"" X 144"" WEST COAST TURNOUT STACK BLACK",1,169.19,169.19
SI700750,1,1391,09/03/2026,Item,FL25-8GA,"2.5"" X 8"" FLEX PIPE GALVANIZED",1,31.68,31.68
SI700750,2,1391,09/03/2026,Item,RW-641,"TUBE 3"" 16GA 10FT STAINLESS 409",5,46.37,231.85
